Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG000002,,,Vehicle Breakdown
BKG000010,Change of plans,,
BKG000011,,,Vehicle Breakdown
BKG000013,,More than permitted people in there,
BKG000014,,Customer related issue,
BKG000015,,Customer related issue,
BKG000019,,Customer related issue,
BKG000020,AC is not working,,
BKG000021,,,Other Issue
BKG000022,,Customer related issue,
BKG000025,,The customer was coughing/sick,
BKG000027,Driver asked to cancel,,
BKG000029,,,Other Issue
BKG000031,,Personal & Car related issues,
BKG000035,,More than permitted people in there,
BKG000038,,More than permitted people in there,
BKG000039,AC is not working,,
BKG000043,,More than permitted people in there,
BKG000044,,More than permitted people in there,
BKG000048,,,Other Issue
BKG000050,,,Customer Demand
BKG000053,AC is not working,,
BKG000056,,Customer related issue,
BKG000060,,The customer was coughing/sick,
BKG000063,,,Customer Demand
BKG000065,,,Other Issue
BKG000068,,The customer was coughing/sick,
BKG000069,,Customer related issue,
BKG000070,,Customer related issue,
BKG000075,Driver asked to cancel,,
BKG000077,,,Customer Demand
BKG000079,,The customer was coughing/sick,
BKG000082,,Customer related issue,
BKG000089,AC is not working,,
BKG000093,,Personal & Car related issues,
BKG000094,,,Other Issue
BKG000096,,Personal & Car related issues,
BKG000097,Wrong Address,,
BKG000098,Driver asked to cancel,,
BKG000100,Driver is not moving towards pickup location,,
BKG000102,,,Other Issue
BKG000104,,Customer related issue,
BKG000106,,Customer related issue,
BKG000110,,The customer was coughing/sick,
BKG000119,,,Other Issue
BKG000120,,More than permitted people in there,
BKG000122,Driver asked to cancel,,
BKG000123,,Personal & Car related issues,
BKG000124,,More than permitted people in there,
BKG000125,,,Vehicle Breakdown
BKG000127,,,Customer Demand
BKG000131,,The customer was coughing/sick,
BKG000135,,More than permitted people in there,
BKG000136,,,Vehicle Breakdown
BKG000140,,Personal & Car related issues,
BKG000144,,,Customer Demand
BKG000145,Change of plans,,
BKG000147,,,Customer Demand
BKG000148,,,Customer Demand
BKG000149,,,Other Issue
BKG000154,Driver asked to cancel,,
BKG000160,,Customer related issue,
BKG000162,,The customer was coughing/sick,
BKG000164,,Customer related issue,
BKG000180,,Customer related issue,
BKG000185,,Customer related issue,
BKG000189,,Customer related issue,
BKG000193,,Personal & Car related issues,
BKG000195,,More than permitted people in there,
BKG000197,Driver asked to cancel,,
BKG000203,Driver asked to cancel,,
BKG000204,,,Vehicle Breakdown
BKG000206,,More than permitted people in there,
BKG000208,,,Vehicle Breakdown
BKG000211,Driver asked to cancel,,
BKG000212,,,Customer Demand
BKG000213,,Customer related issue,
BKG000216,,,Customer Demand
BKG000217,,,Vehicle Breakdown
BKG000219,Driver asked to cancel,,
BKG000221,,,Other Issue
BKG000230,,Customer related issue,
BKG000232,,More than permitted people in there,
BKG000235,Driver is not moving towards pickup location,,
BKG000236,,,Vehicle Breakdown
BKG000238,,,Vehicle Breakdown
BKG000240,,Customer related issue,
BKG000242,,,Other Issue
BKG000245,AC is not working,,
BKG000247,,Personal & Car related issues,
BKG000251,,The customer was coughing/sick,
BKG000254,,,Vehicle Breakdown
BKG000257,,,Vehicle Breakdown
BKG000258,AC is not working,,
BKG000260,,,Other Issue
BKG000262,Change of plans,,
BKG000264,,,Vehicle Breakdown
BKG000266,,,Vehicle Breakdown
BKG000268,Wrong Address,,
BKG000269,,Personal & Car related issues,
BKG000270,Driver asked to cancel,,
BKG000272,,Customer related issue,
BKG000274,,The customer was coughing/sick,
BKG000275,,,Vehicle Breakdown
BKG000278,,The customer was coughing/sick,
BKG000279,,The customer was coughing/sick,
BKG000280,,Customer related issue,
BKG000283,Driver asked to cancel,,
BKG000284,,More than permitted people in there,
BKG000285,,More than permitted people in there,
BKG000286,,Customer related issue,
BKG000293,,The customer was coughing/sick,
BKG000294,,Customer related issue,
BKG000295,,,Other Issue
BKG000296,,,Vehicle Breakdown
BKG000298,,The customer was coughing/sick,
BKG000299,,Personal & Car related issues,
BKG000302,,,Other Issue
BKG000304,,,Vehicle Breakdown
BKG000306,Driver is not moving towards pickup location,,
BKG000307,,The customer was coughing/sick,
BKG000309,,More than permitted people in there,
BKG000311,,More than permitted people in there,
BKG000313,Driver is not moving towards pickup location,,
BKG000316,,Personal & Car related issues,
BKG000319,AC is not working,,
BKG000320,AC is not working,,
BKG000324,Wrong Address,,
BKG000326,,The customer was coughing/sick,
BKG000327,,,Vehicle Breakdown
BKG000333,,,Other Issue
BKG000339,,Personal & Car related issues,
BKG000340,,,Vehicle Breakdown
BKG000342,,Personal & Car related issues,
BKG000344,Change of plans,,
BKG000345,,The customer was coughing/sick,
BKG000347,,Customer related issue,
BKG000351,,Customer related issue,
BKG000352,,,Other Issue
BKG000354,,,Other Issue
BKG000355,,Personal & Car related issues,
BKG000362,,,Customer Demand
BKG000365,,Customer related issue,
BKG000367,,,Customer Demand
BKG000374,,,Customer Demand
BKG000377,,,Vehicle Breakdown
BKG000379,,Customer related issue,
BKG000385,,Customer related issue,
BKG000387,,,Customer Demand
BKG000388,,The customer was coughing/sick,
BKG000393,,Customer related issue,
BKG000398,,,Customer Demand
BKG000404,AC is not working,,
BKG000405,,,Customer Demand
BKG000407,Wrong Address,,
BKG000408,,Customer related issue,
BKG000409,Change of plans,,
BKG000410,,,Other Issue
BKG000413,,More than permitted people in there,
BKG000414,,Personal & Car related issues,
BKG000415,,The customer was coughing/sick,
BKG000422,,Personal & Car related issues,
BKG000427,Driver is not moving towards pickup location,,
BKG000428,,Customer related issue,
BKG000430,,,Other Issue
BKG000435,,,Other Issue
BKG000436,,More than permitted people in there,
BKG000439,,The customer was coughing/sick,
BKG000440,AC is not working,,
BKG000441,,,Vehicle Breakdown
BKG000442,,Personal & Car related issues,
BKG000457,,The customer was coughing/sick,
BKG000458,,Customer related issue,
BKG000460,,More than permitted people in there,
BKG000464,,The customer was coughing/sick,
BKG000465,Driver is not moving towards pickup location,,
BKG000466,Wrong Address,,
BKG000467,,,Vehicle Breakdown
BKG000468,,More than permitted people in there,
BKG000469,,,Other Issue
BKG000470,Wrong Address,,
BKG000472,,,Vehicle Breakdown
BKG000473,,The customer was coughing/sick,
BKG000475,,,Vehicle Breakdown
BKG000477,,Personal & Car related issues,
BKG000480,Driver asked to cancel,,
BKG000483,,Personal & Car related issues,
BKG000487,,,Vehicle Breakdown
BKG000488,,,Customer Demand
BKG000490,,More than permitted people in there,
BKG000496,,,Customer Demand
BKG000497,,More than permitted people in there,
BKG000501,,,Customer Demand
BKG000502,Wrong Address,,
BKG000503,,Personal & Car related issues,
BKG000504,,,Customer Demand
BKG000509,,,Customer Demand
BKG000510,Driver is not moving towards pickup location,,
BKG000514,,Customer related issue,
BKG000516,AC is not working,,
BKG000521,,The customer was coughing/sick,
BKG000523,,,Other Issue
BKG000524,,,Other Issue
BKG000526,,Personal & Car related issues,
BKG000530,,,Vehicle Breakdown
BKG000532,,More than permitted people in there,
BKG000537,,More than permitted people in there,
BKG000558,Driver is not moving towards pickup location,,
BKG000566,,,Other Issue
BKG000567,,,Other Issue
BKG000570,Change of plans,,
BKG000572,,The customer was coughing/sick,
BKG000574,,More than permitted people in there,
BKG000575,,More than permitted people in there,
BKG000579,,Customer related issue,
BKG000584,,The customer was coughing/sick,
BKG000585,Wrong Address,,
BKG000588,Change of plans,,
BKG000592,,,Customer Demand
BKG000593,Driver asked to cancel,,
BKG000598,,Personal & Car related issues,
BKG000599,Driver asked to cancel,,
BKG000600,,Personal & Car related issues,
BKG000602,Driver asked to cancel,,
BKG000607,,The customer was coughing/sick,
BKG000609,Wrong Address,,
BKG000614,,Customer related issue,
BKG000615,,The customer was coughing/sick,
BKG000621,,,Customer Demand
BKG000623,,The customer was coughing/sick,
BKG000625,,,Other Issue
BKG000626,,Personal & Car related issues,
BKG000627,,Personal & Car related issues,
BKG000628,,,Vehicle Breakdown
BKG000629,,,Other Issue
BKG000636,Driver asked to cancel,,
BKG000637,,,Customer Demand
BKG000638,,More than permitted people in there,
BKG000640,,,Customer Demand
BKG000642,,More than permitted people in there,
BKG000645,,Customer related issue,
BKG000649,,Personal & Car related issues,
BKG000650,AC is not working,,
BKG000651,,The customer was coughing/sick,
BKG000654,,,Customer Demand
BKG000655,,More than permitted people in there,
BKG000663,Driver asked to cancel,,
BKG000669,,,Vehicle Breakdown
BKG000670,AC is not working,,
BKG000671,,More than permitted people in there,
BKG000673,,Customer related issue,
BKG000675,,More than permitted people in there,
BKG000676,,,Customer Demand
BKG000678,,The customer was coughing/sick,
BKG000688,Driver asked to cancel,,
BKG000705,,Personal & Car related issues,
BKG000707,,The customer was coughing/sick,
BKG000709,,Personal & Car related issues,
BKG000710,Driver asked to cancel,,
BKG000714,,More than permitted people in there,
BKG000715,,,Vehicle Breakdown
BKG000718,,,Vehicle Breakdown
BKG000721,AC is not working,,
BKG000722,,Customer related issue,
BKG000723,,,Customer Demand
BKG000725,,Personal & Car related issues,
BKG000727,,,Other Issue
BKG000730,,,Customer Demand
BKG000731,,The customer was coughing/sick,
BKG000733,,More than permitted people in there,
BKG000734,,,Other Issue
BKG000738,,,Other Issue
BKG000746,,,Vehicle Breakdown
BKG000747,,,Customer Demand
BKG000750,,More than permitted people in there,
BKG000758,,,Vehicle Breakdown
BKG000760,,,Other Issue
BKG000764,Wrong Address,,
BKG000768,,The customer was coughing/sick,
BKG000769,,,Other Issue
BKG000776,AC is not working,,
BKG000778,,,Customer Demand
BKG000780,,,Other Issue
BKG000790,,,Other Issue
BKG000792,,More than permitted people in there,
BKG000794,,The customer was coughing/sick,
BKG000797,,Customer related issue,
BKG000799,,More than permitted people in there,
BKG000806,,Customer related issue,
BKG000808,,The customer was coughing/sick,
BKG000809,,Customer related issue,
BKG000812,,,Other Issue
BKG000814,,Personal & Car related issues,
BKG000816,,The customer was coughing/sick,
BKG000819,,,Other Issue
BKG000821,,The customer was coughing/sick,
BKG000823,,,Vehicle Breakdown
BKG000825,,The customer was coughing/sick,
BKG000827,,,Customer Demand
BKG000829,Change of plans,,
BKG000831,Wrong Address,,
BKG000832,,The customer was coughing/sick,
BKG000833,,Customer related issue,
BKG000839,,The customer was coughing/sick,
BKG000841,,More than permitted people in there,
BKG000842,,,Customer Demand
BKG000843,Driver is not moving towards pickup location,,
BKG000844,,More than permitted people in there,
BKG000848,,,Customer Demand
BKG000849,,More than permitted people in there,
BKG000854,,,Other Issue
BKG000855,,Personal & Car related issues,
BKG000856,,,Vehicle Breakdown
BKG000857,,Personal & Car related issues,
BKG000867,AC is not working,,
BKG000871,,Personal & Car related issues,
BKG000873,,More than permitted people in there,
BKG000879,,,Other Issue
BKG000881,,More than permitted people in there,
BKG000884,,,Other Issue
BKG000885,,,Customer Demand
BKG000886,,More than permitted people in there,
BKG000888,Wrong Address,,
BKG000889,,,Vehicle Breakdown
BKG000890,,,Other Issue
BKG000891,Change of plans,,
BKG000896,,Customer related issue,
BKG000900,,,Customer Demand
BKG000903,,Customer related issue,
BKG000905,,More than permitted people in there,
BKG000906,,,Other Issue
BKG000913,Driver asked to cancel,,
BKG000914,,,Vehicle Breakdown
BKG000916,,,Customer Demand
BKG000917,,More than permitted people in there,
BKG000919,,Personal & Car related issues,
BKG000922,,,Vehicle Breakdown
BKG000924,,Personal & Car related issues,
BKG000925,,Personal & Car related issues,
BKG000927,,The customer was coughing/sick,
BKG000928,,More than permitted people in there,
BKG000934,,More than permitted people in there,
BKG000935,,,Vehicle Breakdown
BKG000936,,,Vehicle Breakdown
BKG000939,,,Vehicle Breakdown
BKG000942,,,Customer Demand
BKG000944,,,Customer Demand
BKG000950,,The customer was coughing/sick,
BKG000951,,More than permitted people in there,
BKG000952,Driver asked to cancel,,
BKG000955,,Personal & Car related issues,
BKG000959,,The customer was coughing/sick,
BKG000960,,The customer was coughing/sick,
BKG000967,,The customer was coughing/sick,
BKG000968,,,Customer Demand
BKG000969,,,Other Issue
BKG000971,,Customer related issue,
BKG000972,,,Vehicle Breakdown
BKG000973,,The customer was coughing/sick,
BKG000974,,More than permitted people in there,
BKG000975,,,Other Issue
BKG000976,,,Vehicle Breakdown
BKG000977,,Customer related issue,
BKG000984,,Customer related issue,
BKG000987,,Personal & Car related issues,
BKG000989,,,Other Issue
BKG000990,,Customer related issue,
BKG000991,Wrong Address,,
BKG000992,Driver asked to cancel,,
BKG000996,,The customer was coughing/sick,
BKG000998,,,Customer Demand
BKG001000,,,Other Issue
BKG001004,,More than permitted people in there,
BKG001005,,The customer was coughing/sick,
BKG001007,,Personal & Car related issues,
BKG001011,,Personal & Car related issues,
BKG001014,,,Vehicle Breakdown
BKG001015,Change of plans,,
BKG001017,Driver asked to cancel,,
BKG001020,AC is not working,,
BKG001025,Driver asked to cancel,,
BKG001026,,More than permitted people in there,
BKG001027,,,Customer Demand
BKG001029,Driver asked to cancel,,
BKG001033,,Personal & Car related issues,
BKG001035,,Customer related issue,
BKG001037,,,Other Issue
BKG001038,Wrong Address,,
BKG001040,,,Other Issue
BKG001041,,,Customer Demand
BKG001042,,More than permitted people in there,
BKG001048,,Personal & Car related issues,
BKG001049,,Customer related issue,
BKG001051,,More than permitted people in there,
BKG001053,,The customer was coughing/sick,
BKG001054,,,Other Issue
BKG001056,,The customer was coughing/sick,
BKG001057,,Personal & Car related issues,
BKG001064,,,Customer Demand
BKG001066,,More than permitted people in there,
BKG001069,,,Other Issue
BKG001071,AC is not working,,
BKG001072,,Personal & Car related issues,
BKG001074,,Personal & Car related issues,
BKG001075,,,Vehicle Breakdown
BKG001080,Wrong Address,,
BKG001088,,Personal & Car related issues,
BKG001092,,Customer related issue,
BKG001094,Driver is not moving towards pickup location,,
BKG001096,Wrong Address,,
BKG001097,,The customer was coughing/sick,
BKG001104,,Personal & Car related issues,
BKG001105,,,Vehicle Breakdown
BKG001106,,Customer related issue,
BKG001107,,Personal & Car related issues,
BKG001109,AC is not working,,
BKG001110,,Personal & Car related issues,
BKG001111,,Customer related issue,
BKG001112,,The customer was coughing/sick,
BKG001113,,,Customer Demand
BKG001118,,Customer related issue,
BKG001120,,Personal & Car related issues,
BKG001122,AC is not working,,
BKG001123,,More than permitted people in there,
BKG001126,AC is not working,,
BKG001128,,Personal & Car related issues,
BKG001134,,The customer was coughing/sick,
BKG001136,,Customer related issue,
BKG001141,Wrong Address,,
BKG001147,,The customer was coughing/sick,
BKG001153,,Personal & Car related issues,
BKG001155,,More than permitted people in there,
BKG001158,Driver is not moving towards pickup location,,
BKG001159,,,Other Issue
BKG001160,,,Vehicle Breakdown
BKG001163,,,Customer Demand
BKG001165,,Customer related issue,
BKG001169,,The customer was coughing/sick,
BKG001175,,,Other Issue
BKG001186,,,Customer Demand
BKG001187,,Customer related issue,
BKG001188,,,Other Issue
BKG001189,,Customer related issue,
BKG001190,,Customer related issue,
BKG001192,,,Vehicle Breakdown
BKG001193,,Personal & Car related issues,
BKG001196,,,Customer Demand
BKG001197,,Personal & Car related issues,
BKG001201,,Personal & Car related issues,
BKG001204,,,Customer Demand
BKG001205,,,Vehicle Breakdown
BKG001206,,,Customer Demand
BKG001208,,Customer related issue,
BKG001214,,Personal & Car related issues,
BKG001216,,Customer related issue,
BKG001217,,Personal & Car related issues,
BKG001228,,More than permitted people in there,
BKG001229,,The customer was coughing/sick,
BKG001231,,,Vehicle Breakdown
BKG001233,,,Other Issue
BKG001234,Wrong Address,,
BKG001236,,Customer related issue,
BKG001237,,,Other Issue
BKG001245,,Customer related issue,
BKG001246,,,Vehicle Breakdown
BKG001252,,,Other Issue
BKG001253,,,Vehicle Breakdown
BKG001255,,The customer was coughing/sick,
BKG001257,,The customer was coughing/sick,
BKG001259,,,Vehicle Breakdown
BKG001260,Change of plans,,
BKG001261,,,Other Issue
BKG001262,,,Vehicle Breakdown
BKG001263,,,Vehicle Breakdown
BKG001266,,The customer was coughing/sick,
BKG001272,Driver asked to cancel,,
BKG001275,,More than permitted people in there,
BKG001276,,,Other Issue
BKG001277,,,Vehicle Breakdown
BKG001278,,,Customer Demand
BKG001280,,,Vehicle Breakdown
BKG001282,Driver is not moving towards pickup location,,
BKG001283,,The customer was coughing/sick,
BKG001287,,Personal & Car related issues,
BKG001293,,,Other Issue
BKG001298,,The customer was coughing/sick,
BKG001300,,Personal & Car related issues,
BKG001304,Wrong Address,,
BKG001306,,Customer related issue,
BKG001311,Driver asked to cancel,,
BKG001313,,,Customer Demand
BKG001315,,Customer related issue,
BKG001320,AC is not working,,
BKG001322,Change of plans,,
BKG001327,,Personal & Car related issues,
BKG001329,,Customer related issue,
BKG001332,,More than permitted people in there,
BKG001337,,Personal & Car related issues,
BKG001344,,Personal & Car related issues,
BKG001348,,The customer was coughing/sick,
BKG001349,Change of plans,,
BKG001351,,The customer was coughing/sick,
BKG001352,,Personal & Car related issues,
BKG001354,Change of plans,,
BKG001357,,Personal & Car related issues,
BKG001359,,,Customer Demand
BKG001361,,Personal & Car related issues,
BKG001364,,,Customer Demand
BKG001366,,The customer was coughing/sick,
BKG001367,,Customer related issue,
BKG001370,,The customer was coughing/sick,
BKG001372,Driver asked to cancel,,
BKG001376,,,Vehicle Breakdown
BKG001382,,,Other Issue
BKG001385,,,Customer Demand
BKG001386,AC is not working,,
BKG001388,,Personal & Car related issues,
BKG001390,AC is not working,,
BKG001392,,Personal & Car related issues,
BKG001397,,More than permitted people in there,
BKG001399,,Personal & Car related issues,
BKG001402,,,Vehicle Breakdown
BKG001408,,More than permitted people in there,
BKG001409,,Customer related issue,
BKG001410,Wrong Address,,
BKG001411,,,Customer Demand
BKG001414,,More than permitted people in there,
BKG001419,,Customer related issue,
BKG001420,,Personal & Car related issues,
BKG001424,,,Other Issue
BKG001425,,Customer related issue,
BKG001428,,Personal & Car related issues,
BKG001429,,Customer related issue,
BKG001433,,,Customer Demand
BKG001435,Driver asked to cancel,,
BKG001436,,,Other Issue
BKG001438,,Customer related issue,
BKG001440,,More than permitted people in there,
BKG001442,Driver is not moving towards pickup location,,
BKG001444,,More than permitted people in there,
